gameId,gameDateTimeEst,teamCity,teamName,teamId,opponentTeamCity,opponentTeamName,opponentTeamId,home,win,teamScore,opponentScore,assists,blocks,steals,fieldGoalsAttempted,fieldGoalsMade,fieldGoalsPercentage,threePointersAttempted,threePointersMade,threePointersPercentage,freeThrowsAttempted,freeThrowsMade,freeThrowsPercentage,reboundsDefensive,reboundsOffensive,reboundsTotal,foulsPersonal,turnovers,plusMinusPoints,numMinutes,q1Points,q2Points,q3Points,q4Points,benchPoints,biggestLead,biggestScoringRun,leadChanges,pointsFastBreak,pointsFromTurnovers,pointsInThePaint,pointsSecondChance,timesTied,timeoutsRemaining,seasonWins,seasonLosses,coachId,gameType,gameLabel,gameSubLabel,seriesGameNumber,seed,reboundsTeam,turnoversTeam,ot1Points,ot2Points,otAllPoints,gameDate
22501160,2026-04-08 19:00:00,Milwaukee,Bucks,1610612749,Detroit,Pistons,1610612765,0,0,111,137,26,4,5,86,36,0.419,50,17,0.34,28,22,0.786,19,13,32,24,13,-26,240.0,28,29,29,25,32,5,9,3,2,11,34,24,2,0,31,49,,Regular Season,,,,,13,3,,,,2026-04-08 19:00:00
22501160,2026-04-08 19:00:00,Detroit,Pistons,1610612765,Milwaukee,Bucks,1610612749,1,1,137,111,38,10,9,84,48,0.571,30,14,0.467,30,27,0.9,31,15,46,21,12,26,240.0,34,41,37,25,63,31,12,3,32,23,66,16,2,1,58,22,,Regular Season,,,,,4,0,,,,2026-04-08 19:00:00
22501157,2026-04-07 23:00:00,Phoenix,Suns,1610612756,Houston,Rockets,1610612745,1,0,105,119,15,7,10,75,32,0.427,31,7,0.226,39,34,0.872,24,10,34,20,18,-14,240.0,37,20,27,21,19,21,24,6,14,24,44,17,5,0,43,36,,Regular Season,,,,,7,1,,,,2026-04-07 23:00:00
22501157,2026-04-07 23:00:00,Houston,Rockets,1610612745,Phoenix,Suns,1610612756,0,1,119,105,26,3,8,100,45,0.45,38,14,0.368,16,15,0.938,31,24,55,30,17,14,240.0,21,33,27,38,29,15,10,6,11,25,56,37,5,1,50,29,,Regular Season,,,,,9,2,,,,2026-04-07 23:00:00
22501155,2026-04-07 22:30:00,Los Angeles,Lakers,1610612747,Oklahoma City,Thunder,1610612760,1,0,87,123,26,3,7,73,32,0.438,26,9,0.346,31,14,0.452,30,8,38,12,17,-36,240.0,27,20,15,25,46,0,6,0,15,20,34,6,2,1,50,29,,Regular Season,,,,,15,0,,,,2026-04-07 22:30:00
22501155,2026-04-07 22:30:00,Oklahoma City,Thunder,1610612760,Los Angeles,Lakers,1610612747,0,1,123,87,29,2,15,89,45,0.506,41,21,0.512,14,12,0.857,36,10,46,21,12,36,240.0,34,31,28,30,66,41,14,0,13,16,40,10,2,1,63,16,,Regular Season,,,,,6,0,,,,2026-04-07 22:30:00
22501156,2026-04-07 22:30:00,Dallas,Mavericks,1610612742,LA,Clippers,1610612746,0,0,103,116,18,7,9,100,35,0.35,33,6,0.182,28,27,0.964,39,15,54,20,8,-13,240.0,26,29,29,19,54,3,8,2,23,17,44,19,3,1,25,54,,Regular Season,,,,,8,1,,,,2026-04-07 22:30:00
22501156,2026-04-07 22:30:00,LA,Clippers,1610612746,Dallas,Mavericks,1610612742,1,1,116,103,23,9,6,92,41,0.446,37,14,0.378,28,20,0.714,44,12,56,18,14,13,240.0,39,26,24,27,38,23,17,2,27,8,52,11,3,0,41,38,,Regular Season,,,,,7,1,,,,2026-04-07 22:30:00
22501154,2026-04-07 22:00:00,Golden State,Warriors,1610612744,Sacramento,Kings,1610612758,1,1,110,105,27,5,10,82,37,0.451,38,17,0.447,24,19,0.792,26,13,39,15,17,5,240.0,25,41,19,25,52,16,12,18,6,19,36,22,10,1,37,42,,Regular Season,,,,,13,0,,,,2026-04-07 22:00:00
22501154,2026-04-07 22:00:00,Sacramento,Kings,1610612758,Golden State,Warriors,1610612744,0,0,105,110,22,6,9,87,41,0.471,31,11,0.355,17,12,0.706,28,13,41,21,14,-5,240.0,26,27,28,24,46,3,13,18,10,22,56,15,10,1,21,59,,Regular Season,,,,,8,1,,,,2026-04-07 22:00:00
22501149,2026-04-07 20:00:00,Boston,Celtics,1610612738,Charlotte,Hornets,1610612766,1,1,113,102,22,2,6,87,43,0.494,42,17,0.405,12,10,0.833,32,13,45,13,12,11,240.0,20,35,35,23,26,13,10,10,16,22,44,23,2,1,54,25,,Regular Season,,,,,8,2,,,,2026-04-07 20:00:00
22501149,2026-04-07 20:00:00,Charlotte,Hornets,1610612766,Boston,Celtics,1610612738,0,0,102,113,24,3,5,88,38,0.432,49,16,0.327,13,10,0.769,26,14,40,16,12,-11,240.0,31,30,26,15,18,11,9,10,13,22,32,15,2,1,43,37,,Regular Season,,,,,6,1,,,,2026-04-07 20:00:00
22501153,2026-04-07 20:00:00,New Orleans,Pelicans,1610612740,Utah,Jazz,1610612762,1,1,156,137,32,5,15,106,61,0.575,34,14,0.412,23,20,0.87,38,10,48,18,16,19,240.0,24,37,50,45,38,29,11,6,44,28,90,10,6,1,26,54,,Regular Season,,,,,4,1,,,,2026-04-07 20:00:00
22501153,2026-04-07 20:00:00,Utah,Jazz,1610612762,New Orleans,Pelicans,1610612740,0,0,137,156,38,1,12,104,53,0.51,32,10,0.313,24,21,0.875,31,10,41,18,16,-19,240.0,34,35,27,41,53,11,9,6,22,23,78,12,6,1,21,59,,Regular Season,,,,,10,0,,,,2026-04-07 20:00:00
22501150,2026-04-07 19:30:00,Brooklyn,Nets,1610612751,Milwaukee,Bucks,1610612749,1,1,96,90,18,4,11,75,33,0.44,26,9,0.346,23,21,0.913,29,3,32,13,10,6,240.0,30,19,21,26,26,16,15,3,8,11,46,2,2,1,20,59,,Regular Season,,,,,10,4,,,,2026-04-07 19:30:00
22501150,2026-04-07 19:30:00,Milwaukee,Bucks,1610612749,Brooklyn,Nets,1610612751,0,0,90,96,25,7,6,81,35,0.432,45,15,0.333,8,5,0.625,35,9,44,20,19,-6,240.0,29,14,19,28,24,9,10,3,7,10,38,10,2,0,31,48,,Regular Season,,,,,8,1,,,,2026-04-07 19:30:00
22501151,2026-04-07 19:30:00,Toronto,Raptors,1610612761,Miami,Heat,1610612748,1,1,121,95,34,5,9,99,49,0.495,28,12,0.429,16,11,0.688,41,15,56,19,12,26,240.0,32,32,30,27,37,27,9,4,18,18,70,23,9,0,44,35,,Regular Season,,,,,6,0,,,,2026-04-07 19:30:00
22501151,2026-04-07 19:30:00,Miami,Heat,1610612748,Toronto,Raptors,1610612761,0,0,95,121,26,3,3,91,33,0.363,44,12,0.273,19,17,0.895,34,10,44,15,15,-26,240.0,27,24,25,19,34,2,7,4,15,10,34,6,9,0,41,38,,Regular Season,,,,,9,0,,,,2026-04-07 19:30:00
